#              X                D                V                M
    0.0000319266     1.7500000001    -0.0000223451     0.0000000000
    0.0000322152     1.7500000001    -0.0000225470     0.0000000000
    0.0000325064     1.7500000001    -0.0000227508     0.0000000000
    0.0000328002     1.7500000001    -0.0000229565     0.0000000000
    0.0000330967     1.7500000001    -0.0000231640     0.0000000000
    0.0000333959     1.7500000001    -0.0000233733     0.0000000000
    0.0000336978     1.7500000001    -0.0000235846     0.0000000000
    0.0000340024     1.7500000001    -0.0000237978     0.0000000000
    0.0000343098     1.7500000001    -0.0000240129     0.0000000000
    0.0000346199     1.7500000001    -0.0000242299     0.0000000000
    0.0000349328     1.7500000001    -0.0000244490     0.0000000000
    0.0000352486     1.7500000001    -0.0000246699     0.0000000000
    0.0000355673     1.7500000001    -0.0000248929     0.0000000000
    0.0000358888     1.7500000001    -0.0000251179     0.0000000000
    0.0000362132     1.7500000001    -0.0000253450     0.0000000000
    0.0000365405     1.7500000001    -0.0000255741     0.0000000000
    0.0000368708     1.7500000001    -0.0000258052     0.0000000000
    0.0000372041     1.7500000001    -0.0000260385     0.0000000000
    0.0000375404     1.7500000001    -0.0000262738     0.0000000000
    0.0000378798     1.7500000001    -0.0000265113     0.0000000000
    0.0000382222     1.7500000001    -0.0000267510     0.0000000000
    0.0000385677     1.7500000001    -0.0000269928     0.0000000000
    0.0000389163     1.7500000001    -0.0000272367     0.0000000000
    0.0000392681     1.7500000001    -0.0000274829     0.0000000000
    0.0000396231     1.7500000001    -0.0000277314     0.0000000000
    0.0000399813     1.7500000001    -0.0000279820     0.0000000000
    0.0000403427     1.7500000001    -0.0000282349     0.0000000000
    0.0000407073     1.7500000001    -0.0000284902     0.0000000000
    0.0000410753     1.7500000001    -0.0000287477     0.0000000000
    0.0000414466     1.7500000001    -0.0000290075     0.0000000000
    0.0000418213     1.7500000001    -0.0000292697     0.0000000000
    0.0000421993     1.7500000001    -0.0000295343     0.0000000000
    0.0000425808     1.7500000001    -0.0000298013     0.0000000000
    0.0000429657     1.7500000001    -0.0000300706     0.0000000000
    0.0000433541     1.7500000001    -0.0000303424     0.0000000000
    0.0000437460     1.7500000001    -0.0000306167     0.0000000000
    0.0000441414     1.7500000001    -0.0000308934     0.0000000000
    0.0000445404     1.7500000001    -0.0000311727     0.0000000000
    0.0000449430     1.7500000001    -0.0000314545     0.0000000000
    0.0000453493     1.7500000001    -0.0000317388     0.0000000000
    0.0000457592     1.7500000001    -0.0000320257     0.0000000000
    0.0000461729     1.7500000001    -0.0000323152     0.0000000000
    0.0000465903     1.7500000001    -0.0000326072     0.0000000000
    0.0000470114     1.7500000001    -0.0000329020     0.0000000000
    0.0000474364     1.7500000001    -0.0000331994     0.0000000000
    0.0000478652     1.7500000001    -0.0000334995     0.0000000000
    0.0000482978     1.7500000001    -0.0000338023     0.0000000000
    0.0000487344     1.7500000001    -0.0000341078     0.0000000000
    0.0000491750     1.7500000001    -0.0000344161     0.0000000000
    0.0000496195     1.7500000001    -0.0000347272     0.0000000000
    0.0000500680     1.7500000001    -0.0000350411     0.0000000000
    0.0000505206     1.7500000001    -0.0000353579     0.0000000000
    0.0000509773     1.7500000001    -0.0000356775     0.0000000000
    0.0000514381     1.7500000001    -0.0000359999     0.0000000000
    0.0000519031     1.7500000001    -0.0000363254     0.0000000000
    0.0000523722     1.7500000001    -0.0000366537     0.0000000000
    0.0000528457     1.7500000001    -0.0000369850     0.0000000000
    0.0000533234     1.7500000001    -0.0000373193     0.0000000000
    0.0000538054     1.7500000001    -0.0000376567     0.0000000000
    0.0000542917     1.7500000001    -0.0000379970     0.0000000000
    0.0000547825     1.7500000001    -0.0000383405     0.0000000000
    0.0000552777     1.7500000001    -0.0000386871     0.0000000000
    0.0000557774     1.7500000001    -0.0000390368     0.0000000000
    0.0000562816     1.7500000001    -0.0000393896     0.0000000000
    0.0000567904     1.7500000001    -0.0000397457     0.0000000000
    0.0000573037     1.7500000001    -0.0000401049     0.0000000000
    0.0000578217     1.7500000001    -0.0000404674     0.0000000000
    0.0000583444     1.7500000001    -0.0000408332     0.0000000000
    0.0000588718     1.7500000001    -0.0000412023     0.0000000000
    0.0000594040     1.7500000001    -0.0000415748     0.0000000000
    0.0000599409     1.7500000001    -0.0000419506     0.0000000000
    0.0000604828     1.7500000001    -0.0000423298     0.0000000000
    0.0000610295     1.7500000001    -0.0000427124     0.0000000000
    0.0000615812     1.7500000001    -0.0000430985     0.0000000000
    0.0000621378     1.7500000001    -0.0000434880     0.0000000000
    0.0000626995     1.7500000001    -0.0000438811     0.0000000000
    0.0000632663     1.7500000001    -0.0000442778     0.0000000000
    0.0000638382     1.7500000001    -0.0000446780     0.0000000000
    0.0000644153     1.7500000001    -0.0000450819     0.0000000000
    0.0000649975     1.7500000001    -0.0000454894     0.0000000000
    0.0000655851     1.7500000001    -0.0000459006     0.0000000000
    0.0000661779     1.7500000001    -0.0000463155     0.0000000000
    0.0000667762     1.7500000001    -0.0000467341     0.0000000000
    0.0000673798     1.7500000001    -0.0000471565     0.0000000000
    0.0000679889     1.7500000001    -0.0000475828     0.0000000000
    0.0000686034     1.7500000001    -0.0000480129     0.0000000000
    0.0000692236     1.7500000001    -0.0000484469     0.0000000000
    0.0000698493     1.7500000001    -0.0000488848     0.0000000000
    0.0000704807     1.7500000001    -0.0000493267     0.0000000000
    0.0000711178     1.7500000001    -0.0000497726     0.0000000000
    0.0000717607     1.7500000001    -0.0000502225     0.0000000000
    0.0000724094     1.7500000001    -0.0000506765     0.0000000000
    0.0000730639     1.7500000002    -0.0000511345     0.0000000000
    0.0000737244     1.7500000002    -0.0000515967     0.0000000000
    0.0000743908     1.7500000002    -0.0000520631     0.0000000000
    0.0000750633     1.7500000002    -0.0000525337     0.0000000000
    0.0000757418     1.7500000002    -0.0000530086     0.0000000000
